timestamp,framework,commit,model,quant,threads,numa,pp512_tps,tg128_tps,file_size_bytes,bpw,ppl_wt2_c2048,ppl_fp16_anchor,tool,notes
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,F16,24,none,1494.13,54.52,1509347136,16.001,,,llama-bench,rtr; p512 n128 r3; -rtr 1 run-time repack; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,24,none,,,484219712,5.09,20.387,18.4883,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,1,none,125.23,20.11,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,6,none,671.64,65.54,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,12,none,1197.22,89.16,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,24,none,1275.06,107.21,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,48,none,1257.5,91.79,484219712,5.09,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,12,node0-cpubind,1231.74,105.12,484219712,5.09,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_K_M,24,none,1715.01,129.2,484219712,5.09,,,llama-bench,rtr; p512 n128 r3; -rtr 1 run-time repack; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,24,none,,,469080896,4.929,20.9433,18.4883,llama-perplexity,wt2-raw full test; ctx2048; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,1,none,125.18,10.65,469080896,4.929,,,llama-bench,p512 n128 r3; no-imatrix
2026-07-14T13:44:14Z,ik_llama.cpp,7937465ff15a2e121f36b87d4507766bd11f5153,Qwen3-0.6B,Q4_0,6,none,645.37,48.55,469080896,4.929,,,llama-bench,p512 n128 r3; no-imatrix
